900001,1,100.00,CREATED,1,S1001,2026-01-01 09:00:00,0.00,0.00,EAST,COURSE_SIMULATION
900002,2,200.00,CREATED,1,S1002,2026-01-01 09:00:00,0.00,0.00,WEST,COURSE_SIMULATION
900003,3,150.00,CREATED,1,S1003,2026-01-01 09:00:00,0.00,0.00,EAST,COURSE_SIMULATION
900004,4,80.00,CREATED,1,S1004,2026-01-01 09:00:00,0.00,0.00,WEST,COURSE_SIMULATION
900005,5,120.00,CREATED,1,S1005,2026-01-01 09:00:00,0.00,0.00,EAST,COURSE_SIMULATION
900006,6,60.00,CREATED,1,S1006,2026-01-01 09:00:00,0.00,0.00,WEST,COURSE_SIMULATION
900007,7,300.00,CREATED,1,S1007,2026-01-01 09:00:00,0.00,0.00,EAST,COURSE_SIMULATION
900008,8,90.00,CREATED,1,S1008,2026-01-01 09:00:00,0.00,0.00,WEST,COURSE_SIMULATION
900009,9,50.00,CREATED,1,S1009,2026-01-01 09:00:00,0.00,0.00,EAST,COURSE_SIMULATION
900010,10,250.00,CREATED,1,S1010,2026-01-01 09:00:00,0.00,0.00,WEST,COURSE_SIMULATION
